y,z,TBKAN_Ux,TBKAN_Uy,TBKAN_Uz,DNS_Ux,DNS_Uy,DNS_Uz,Error_Ux,Error_Uy,Error_Uz,Mag_Error_TBKAN_vs_DNS,Mag_Error_RANS_vs_DNS
0.467555,-0.49701,0.0105245,-0.000124039,-3.09872e-05,0.011560195899118346,-4.319793822732382e-05,-7.549125208360545e-06,-0.0010356958991183472,-8.084106177267617e-05,-2.3438074791639456e-05,0.0010391104927143376,0.0004523938241091405
0.471844,-0.49701,0.00940521,-7.36279e-05,-2.42864e-05,0.009678594585187546,-2.371350822580325e-05,-4.874525955513373e-06,-0.00027338458518754577,-4.991439177419675e-05,-1.9411874044486626e-05,0.0002785810452602141,0.0002899603379679642
0.475943,-0.49701,0.00827984,-3.67063e-05,-1.65755e-05,0.009099542043610711,-1.8760380262554863e-05,-4.6128600106992095e-06,-0.0008197020436107108,-1.7945919737445135e-05,-1.196263998930079e-05,0.0008199857322480142,0.00028497723731524304
0.479862,-0.49701,0.00715114,-1.45515e-05,-9.32234e-06,0.007892195469486918,-1.1458589875490018e-05,-3.466618562352621e-06,-0.0007410554694869172,-3.092910124509982e-06,-5.855721437647379e-06,0.0007410850588313524,0.00022700117030979933
0.483608,-0.49701,0.00601992,-4.37282e-06,-4.23797e-06,0.006589265959714785,-6.184122647827717e-06,-2.3410164605416463e-06,-0.0005693459597147848,1.811302647827717e-06,-1.896953539458354e-06,0.0005693520010446632,7.71938141774354e-05
0.487189,-0.49701,0.00488366,-1.01446e-06,-1.46413e-06,0.0047680532612152035,-1.9266904020836083e-06,-9.557843116089108e-07,0.00011560673878479623,9.122304020836084e-07,-5.083456883910893e-07,0.00011561145545360762,2.635402493694719e-06
0.490611,-0.49701,0.00373546,-1.45982e-07,-3.35963e-07,0.004159555990570883,-1.14116788183554e-06,-8.151291783804046e-07,-0.0004240959905708829,9.951858818355401e-07,4.791661783804046e-07,0.00042409742891635677,1.7484363685212785e-05
0.493883,-0.49701,0.00256221,7.96962e-09,6.7181e-08,0.002927098372117388,-2.62648150670371e-07,-3.1234906948986104e-07,-0.00036488837211738796,2.7061777067037097e-07,3.79530069489861e-07,0.000364888669848118,4.5597565264557754e-05
0.49701,-0.49701,0.00133931,-3.46091e-08,3.37682e-08,0.0010250874584695848,6.014617396991483e-08,6.180837148463031e-08,0.0003142225415304152,-9.475527396991484e-08,-2.8040171484630314e-08,0.00031422255706846803,5.592563353488528e-05
0.5,-0.49701,0.0,0.0,0.0,,,,,,,,
